Property Name,Field,Value,Sector,Region
Leeds,Valuation (£),"2,300,000 ",Office,North
Leeds,Initial Yield (%),7.92,Office,North
Leeds,Net Equiv Yield (%),8.04,Office,North
Leeds,True Equiv Yield (%),8.45,Office,North
Leeds,Reversionary Yield (%),8.16,Office,North
Leeds,Capital Value (£psf),124.55 ,Office,North
Leeds,Area (m2),"18,466",Office,North
Leeds,WAULTb (yrs),4.46,Office,North
Leeds,WAULTe (yrs),6.53,Office,North
Leeds,Passing rent (£),"193,722 ",Office,North
Leeds,ERV (£),"199,500 ",Office,North
Oxford,Valuation (£),"8,800,000 ",Leisure,South
Oxford,Initial Yield (%),5.47,Leisure,South
Oxford,Net Equiv Yield (%),8.44,Leisure,South
Oxford,True Equiv Yield (%),8.87,Leisure,South
Oxford,Reversionary Yield (%),8.94,Leisure,South
Oxford,Capital Value (£psf),118.49 ,Leisure,South
Oxford,Area (m2),"74,266",Leisure,South
Oxford,WAULTb (yrs),5.30,Leisure,South
Oxford,WAULTe (yrs),8.18,Leisure,South
Oxford,Passing rent (£),"645,682 ",Leisure,South
Oxford,ERV (£),"848,652 ",Leisure,South
Bristol,Valuation (£),"10,700,000 ",Retail,West
Bristol,Initial Yield (%),5.84,Retail,West
Bristol,Net Equiv Yield (%),6.29,Retail,West
Bristol,True Equiv Yield (%),6.55,Retail,West
Bristol,Reversionary Yield (%),7.02,Retail,West
Bristol,Capital Value (£psf),295.34 ,Retail,West
Bristol,Area (m2),"36,230",Retail,West
Bristol,WAULTb (yrs),3.27,Retail,West
Bristol,WAULTe (yrs),5.75,Retail,West
Bristol,Passing rent (£),"725,180 ",Retail,West
Bristol,ERV (£),"813,224 ",Retail,West
Glasgow,Valuation (£),"10,000,000 ",Industrial,North
Glasgow,Initial Yield (%),3.14,Industrial,North
Glasgow,Net Equiv Yield (%),9.49,Industrial,North
Glasgow,True Equiv Yield (%),9.99,Industrial,North
Glasgow,Reversionary Yield (%),11.52,Industrial,North
Glasgow,Capital Value (£psf),116.87 ,Industrial,North
Glasgow,Area (m2),"85,565",Industrial,North
Glasgow,WAULTb (yrs),3.30,Industrial,North
Glasgow,WAULTe (yrs),4.94,Industrial,North
Glasgow,Passing rent (£),"732,259 ",Industrial,North
Glasgow,ERV (£),"1,256,000 ",Industrial,North
Cheltenham,Valuation (£),"3,200,000 ",Office,West
Cheltenham,Initial Yield (%),8.81,Office,West
Cheltenham,Net Equiv Yield (%),7.99,Office,West
Cheltenham,True Equiv Yield (%),8.37,Office,West
Cheltenham,Reversionary Yield (%),9.16,Office,West
Cheltenham,Capital Value (£psf),83.27 ,Office,West
Cheltenham,Area (m2),"38,427",Office,West
Cheltenham,WAULTb (yrs),6.00,Office,West
Cheltenham,WAULTe (yrs),6.00,Office,West
Cheltenham,Passing rent (£),"300,000 ",Office,West
Cheltenham,ERV (£),"317,000 ",Office,West
Nottingham,Valuation (£),"8,850,000 ",Leisure,North
Nottingham,Initial Yield (%),4.75,Leisure,North
Nottingham,Net Equiv Yield (%),8.51,Leisure,North
Nottingham,True Equiv Yield (%),8.95,Leisure,North
Nottingham,Reversionary Yield (%),9.11,Leisure,North
Nottingham,Capital Value (£psf),126.98 ,Leisure,North
Nottingham,Area (m2),"69,694",Leisure,North
Nottingham,WAULTb (yrs),4.97,Leisure,North
Nottingham,WAULTe (yrs),5.43,Leisure,North
Nottingham,Passing rent (£),"704,603 ",Leisure,North
Nottingham,ERV (£),"928,888 ",Leisure,North
Birmingham,Valuation (£),"4,550,000 ",Retail,West
Birmingham,Initial Yield (%),10.54,Retail,West
Birmingham,Net Equiv Yield (%),6.92,Retail,West
Birmingham,True Equiv Yield (%),7.18,Retail,West
Birmingham,Reversionary Yield (%),8.64,Retail,West
Birmingham,Capital Value (£psf),132.20 ,Retail,West
Birmingham,Area (m2),"34,418",Retail,West
Birmingham,WAULTb (yrs),1.73,Retail,West
Birmingham,WAULTe (yrs),1.73,Retail,West
Birmingham,Passing rent (£),"511,000 ",Retail,West
Birmingham,ERV (£),"783,000 ",Retail,West
Blackpool,Valuation (£),"4,850,000 ",Industrial,North
Blackpool,Initial Yield (%),10.72,Industrial,North
Blackpool,Net Equiv Yield (%),8.86,Industrial,North
Blackpool,True Equiv Yield (%),9.42,Industrial,North
Blackpool,Reversionary Yield (%),7.3,Industrial,North
Blackpool,Capital Value (£psf),48.12 ,Industrial,North
Blackpool,Area (m2),"100,792",Industrial,North
Blackpool,WAULTb (yrs),5.74,Industrial,North
Blackpool,WAULTe (yrs),8.11,Industrial,North
Blackpool,Passing rent (£),"613,545 ",Industrial,North
Blackpool,ERV (£),"452,250 ",Industrial,North
Portsmouth,Valuation (£),"6,370,000 ",Office,South
Portsmouth,Initial Yield (%),9.51,Office,South
Portsmouth,Net Equiv Yield (%),7.33,Office,South
Portsmouth,True Equiv Yield (%),7.7,Office,South
Portsmouth,Reversionary Yield (%),7.03,Office,South
Portsmouth,Capital Value (£psf),510.62 ,Office,South
Portsmouth,Area (m2),"12,475",Office,South
Portsmouth,WAULTb (yrs),3.31,Office,South
Portsmouth,WAULTe (yrs),3.58,Office,South
Portsmouth,Passing rent (£),"645,800 ",Office,South
Portsmouth,ERV (£),"481,250 ",Office,South
Sheffield,Valuation (£),"4,450,000 ",Leisure,North
Sheffield,Initial Yield (%),6.1,Leisure,North
Sheffield,Net Equiv Yield (%),7.96,Leisure,North
Sheffield,True Equiv Yield (%),8.34,Leisure,North
Sheffield,Reversionary Yield (%),8.58,Leisure,North
Sheffield,Capital Value (£psf),386.42 ,Leisure,North
Sheffield,Area (m2),"11,516",Leisure,North
Sheffield,WAULTb (yrs),3.38,Leisure,North
Sheffield,WAULTe (yrs),6.18,Leisure,North
Sheffield,Passing rent (£),"366,250 ",Leisure,North
Sheffield,ERV (£),"414,000 ",Leisure,North
Southampton,Valuation (£),"8,200,000 ",Retail,South
Southampton,Initial Yield (%),9.78,Retail,South
Southampton,Net Equiv Yield (%),6.84,Retail,South
Southampton,True Equiv Yield (%),7.16,Retail,South
Southampton,Reversionary Yield (%),6.47,Retail,South
Southampton,Capital Value (£psf),373.81 ,Retail,South
Southampton,Area (m2),"21,936",Retail,South
Southampton,WAULTb (yrs),3.29,Retail,South
Southampton,WAULTe (yrs),3.29,Retail,South
Southampton,Passing rent (£),"855,850 ",Retail,South
Southampton,ERV (£),"566,000 ",Retail,South
Hull,Valuation (£),"2,075,000 ",Industrial,North
Hull,Initial Yield (%),10.36,Industrial,North
Hull,Net Equiv Yield (%),8.59,Industrial,North
Hull,True Equiv Yield (%),9.02,Industrial,North
Hull,Reversionary Yield (%),9.54,Industrial,North
Hull,Capital Value (£psf),117.52 ,Industrial,North
Hull,Area (m2),"17,656",Industrial,North
Hull,WAULTb (yrs),3.86,Industrial,North
Hull,WAULTe (yrs),3.86,Industrial,North
Hull,Passing rent (£),"228,591 ",Industrial,North
Hull,ERV (£),"210,500 ",Industrial,North
Bradford,Valuation (£),"2,100,000 ",Office,North
Bradford,Initial Yield (%),7.17,Office,North
Bradford,Net Equiv Yield (%),6.87,Office,North
Bradford,True Equiv Yield (%),7.18,Office,North
Bradford,Reversionary Yield (%),6.87,Office,North
Bradford,Capital Value (£psf),40.60 ,Office,North
Bradford,Area (m2),"51,722",Office,North
Bradford,WAULTb (yrs),6.50,Office,North
Bradford,WAULTe (yrs),6.50,Office,North
Bradford,Passing rent (£),"160,000 ",Office,North
Bradford,ERV (£),"160,000 ",Office,North
Leicester,Valuation (£),"12,400,000 ",Leisure,East
Leicester,Initial Yield (%),9.98,Leisure,East
Leicester,Net Equiv Yield (%),7.86,Leisure,East
Leicester,True Equiv Yield (%),8.3,Leisure,East
Leicester,Reversionary Yield (%),7.26,Leisure,East
Leicester,Capital Value (£psf),236.85 ,Leisure,East
Leicester,Area (m2),"52,353",Leisure,East
Leicester,WAULTb (yrs),3.33,Leisure,East
Leicester,WAULTe (yrs),3.33,Leisure,East
Leicester,Passing rent (£),"1,320,026 ",Leisure,East
Leicester,ERV (£),"960,500 ",Leisure,East
Milton Keynes,Valuation (£),"1,800,000 ",Retail,East
Milton Keynes,Initial Yield (%),7.01,Retail,East
Milton Keynes,Net Equiv Yield (%),6.55,Retail,East
Milton Keynes,True Equiv Yield (%),6.82,Retail,East
Milton Keynes,Reversionary Yield (%),6.55,Retail,East
Milton Keynes,Capital Value (£psf),63.50 ,Retail,East
Milton Keynes,Area (m2),"28,348",Retail,East
Milton Keynes,WAULTb (yrs),5.35,Retail,East
Milton Keynes,WAULTe (yrs),5.35,Retail,East
Milton Keynes,Passing rent (£),"134,000 ",Retail,East
Milton Keynes,ERV (£),"134,000 ",Retail,East
Peterborough,Valuation (£),"5,700,000 ",Industrial,East
Peterborough,Initial Yield (%),8.64,Industrial,East
Peterborough,Net Equiv Yield (%),8,Industrial,East
Peterborough,True Equiv Yield (%),8.42,Industrial,East
Peterborough,Reversionary Yield (%),8,Industrial,East
Peterborough,Capital Value (£psf),30.96 ,Industrial,East
Peterborough,Area (m2),"184,114",Industrial,East
Peterborough,WAULTb (yrs),3.01,Industrial,East
Peterborough,WAULTe (yrs),3.01,Industrial,East
Peterborough,Passing rent (£),"525,000 ",Industrial,East
Peterborough,ERV (£),"525,000 ",Industrial,East
Rotherham,Valuation (£),"2,300,000 ",Office,North
Rotherham,Initial Yield (%),7.97,Office,North
Rotherham,Net Equiv Yield (%),8.53,Office,North
Rotherham,True Equiv Yield (%),8.96,Office,North
Rotherham,Reversionary Yield (%),9.33,Office,North
Rotherham,Capital Value (£psf),28.06 ,Office,North
Rotherham,Area (m2),"81,979",Office,North
Rotherham,WAULTb (yrs),0.73,Office,North
Rotherham,WAULTe (yrs),0.73,Office,North
Rotherham,Passing rent (£),"195,000 ",Office,North
Rotherham,ERV (£),"245,000 ",Office,North
Manchester,Valuation (£),"1,450,000 ",Leisure,North
Manchester,Initial Yield (%),6.7,Leisure,North
Manchester,Net Equiv Yield (%),6.7,Leisure,North
Manchester,True Equiv Yield (%),6.99,Leisure,North
Manchester,Reversionary Yield (%),6.7,Leisure,North
Manchester,Capital Value (£psf),59.65 ,Leisure,North
Manchester,Area (m2),"24,307",Leisure,North
Manchester,WAULTb (yrs),5.35,Leisure,North
Manchester,WAULTe (yrs),5.35,Leisure,North
Manchester,Passing rent (£),"103,000 ",Leisure,North
Manchester,ERV (£),"103,000 ",Leisure,North
Wakefield,Valuation (£),"4,175,000 ",Retail,North
Wakefield,Initial Yield (%),8.49,Retail,North
Wakefield,Net Equiv Yield (%),10.91,Retail,North
Wakefield,True Equiv Yield (%),11.63,Retail,North
Wakefield,Reversionary Yield (%),11.93,Retail,North
Wakefield,Capital Value (£psf),20.35 ,Retail,North
Wakefield,Area (m2),"205,203",Retail,North
Wakefield,WAULTb (yrs),2.55,Retail,North
Wakefield,WAULTe (yrs),5.03,Retail,North
Wakefield,Passing rent (£),"512,746 ",Retail,North
Wakefield,ERV (£),"675,000 ",Retail,North
Walsall,Valuation (£),"4,400,000 ",Industrial,West
Walsall,Initial Yield (%),9.58,Industrial,West
Walsall,Net Equiv Yield (%),8.97,Industrial,West
Walsall,True Equiv Yield (%),9.49,Industrial,West
Walsall,Reversionary Yield (%),9.08,Industrial,West
Walsall,Capital Value (£psf),32.31 ,Industrial,West
Walsall,Area (m2),"136,171",Industrial,West
Walsall,WAULTb (yrs),4.02,Industrial,West
Walsall,WAULTe (yrs),4.02,Industrial,West
Walsall,Passing rent (£),"449,218 ",Industrial,West
Walsall,ERV (£),"442,600 ",Industrial,West
Wales,Valuation (£),"9,975,000 ",Office,West
Wales,Initial Yield (%),8.3,Office,West
Wales,Net Equiv Yield (%),8.2,Office,West
Wales,True Equiv Yield (%),8.64,Office,West
Wales,Reversionary Yield (%),8.03,Office,West
Wales,Capital Value (£psf),35.68 ,Office,West
Wales,Area (m2),"279,541",Office,West
Wales,WAULTb (yrs),13.98,Office,West
Wales,WAULTe (yrs),13.98,Office,West
Wales,Passing rent (£),"883,265 ",Office,West
Wales,ERV (£),"908,500 ",Office,West
Southend,Valuation (£),"5,625,000 ",Leisure,South
Southend,Initial Yield (%),8.92,Leisure,South
Southend,Net Equiv Yield (%),8.73,Leisure,South
Southend,True Equiv Yield (%),9.23,Leisure,South
Southend,Reversionary Yield (%),8.92,Leisure,South
Southend,Capital Value (£psf),138.43 ,Leisure,South
Southend,Area (m2),"40,635",Leisure,South
Southend,WAULTb (yrs),4.50,Leisure,South
Southend,WAULTe (yrs),4.50,Leisure,South
Southend,Passing rent (£),"535,000 ",Leisure,South
Southend,ERV (£),"535,000 ",Leisure,South
